qid,source_name,normalized_candidate,present_in_rest_bootstrap,present_in_detail,present_in_initial_push,present_in_active_delta,regular_session_verified,after_hours_verified,market_phase_dependency,zero_allowed,blank_allowed,missing_semantics,safe_for_ai,confidence,caveats
125,CLastPrice,last,verified,verified,verified_some_symbols,unverified,false,false,semantics_unresolved,unresolved,unresolved,semantics_unresolved,conditional_presence_only,medium,field_presence_verified_semantics_unresolved_active_delta_unverified; missing_in=TXV40100G6-O
129,CRefPrice,reference,verified,verified,verified,unverified,false,false,semantics_unresolved,unresolved,unresolved,semantics_unresolved,conditional_presence_only,medium,field_presence_verified_semantics_unresolved_active_delta_unverified; missing_in=
143,CTime,source_time,verified,verified,verified_some_symbols,unverified,false,false,semantics_unresolved,unresolved,unresolved,semantics_unresolved,conditional_presence_only,medium,field_presence_verified_semantics_unresolved_active_delta_unverified; missing_in=TXV40100G6-O
144,CDate,source_calendar_date,verified,verified,verified,unverified,false,false,semantics_unresolved,unresolved,unresolved,semantics_unresolved,conditional_presence_only,medium,field_presence_verified_semantics_unresolved_active_delta_unverified; missing_in=
145,Status,source_status_code,verified,verified,verified,unverified,false,false,semantics_unresolved,unresolved,unresolved,semantics_unresolved,conditional_presence_only,medium,field_presence_verified_semantics_unresolved_active_delta_unverified; missing_in=
404,CTotalVolume,volume,verified,verified,verified_some_symbols,unverified,false,false,semantics_unresolved,unresolved,unresolved,semantics_unresolved,conditional_presence_only,medium,field_presence_verified_semantics_unresolved_active_delta_unverified; missing_in=TXV40100G6-O
101,CBidPrice1,best_bid_candidate,verified,verified,verified,unverified,false,false,semantics_unresolved,unresolved,unresolved,semantics_unresolved,conditional_presence_only,medium,field_presence_verified_semantics_unresolved_active_delta_unverified; missing_in=
102,CAskPrice1,best_ask_candidate,verified,verified,verified,unverified,false,false,semantics_unresolved,unresolved,unresolved,semantics_unresolved,conditional_presence_only,medium,field_presence_verified_semantics_unresolved_active_delta_unverified; missing_in=
113,CBidSize1,best_bid_size_candidate,verified,verified,verified,unverified,false,false,semantics_unresolved,unresolved,unresolved,semantics_unresolved,conditional_presence_only,medium,field_presence_verified_semantics_unresolved_active_delta_unverified; missing_in=
114,CAskSize1,best_ask_size_candidate,verified,verified,verified,unverified,false,false,semantics_unresolved,unresolved,unresolved,semantics_unresolved,conditional_presence_only,medium,field_presence_verified_semantics_unresolved_active_delta_unverified; missing_in=
743,CBestBidPrice,best_bid_candidate,verified,verified,verified,unverified,false,false,semantics_unresolved,unresolved,unresolved,semantics_unresolved,conditional_presence_only,medium,field_presence_verified_semantics_unresolved_active_delta_unverified; missing_in=
744,CBestAskPrice,best_ask_candidate,verified,verified,verified,unverified,false,false,semantics_unresolved,unresolved,unresolved,semantics_unresolved,conditional_presence_only,medium,field_presence_verified_semantics_unresolved_active_delta_unverified; missing_in=
745,CBestBidSize,best_bid_size_candidate,verified,verified,verified,unverified,false,false,semantics_unresolved,unresolved,unresolved,semantics_unresolved,conditional_presence_only,medium,field_presence_verified_semantics_unresolved_active_delta_unverified; missing_in=
746,CBestAskSize,best_ask_size_candidate,verified,verified,verified,unverified,false,false,semantics_unresolved,unresolved,unresolved,semantics_unresolved,conditional_presence_only,medium,field_presence_verified_semantics_unresolved_active_delta_unverified; missing_in=
