source_id,endpoint_contract_id,source_field,source_label,sample_value,source_type,nullable,special_markers,normalized_field,normalized_type,unit,unit_status,date_semantics,identity_semantics,conversion_rule,validation_rule,required_for_valid_row,AI_context_eligible,evidence_status,evidence_reference,open_question,notes
TWSE_OPENAPI,twse_openapi_stock_day_all_v1,Date,Date,1150709,string,true,empty|-|--|---,trade_date,string,roc_yyyMMdd,directly_observed,ROC yyyMMdd row date,not_applicable,parse ROC yyyMMdd string only; trim ASCII whitespace; convert to Gregorian YYYY-MM-DD; reject empty or malformed dates; do not apply numeric price/count parsing,required; must match exactly seven digits and produce a valid Gregorian date; special markers are invalid for valid row identity/date,true,true,directly_observed,swagger and probe artifacts,,source ROC date; convert to Gregorian in adapter
TWSE_OPENAPI,twse_openapi_stock_day_all_v1,Code,Code,00400A,string,true,empty|-|--|---,symbol,string,not_applicable,directly_observed,not_applicable,"canonical (market, symbol)",preserve exact trimmed source string as symbol; keep leading zeroes and alphabetic suffixes; do not coerce to integer; do not change case,required; non-empty string after trim; allow digits and observed alphabetic suffixes; reject embedded whitespace/control characters; special markers invalid,true,true,directly_observed,swagger and probe artifacts,,identity
TWSE_OPENAPI,twse_openapi_stock_day_all_v1,Name,Name,主動國泰動能高息,string,true,empty|-|--|---,name,string,not_applicable,directly_observed,not_applicable,"canonical (market, symbol)",preserve trimmed Unicode security name exactly; do not apply numeric/date conversion; do not transliterate,required; non-empty Unicode string after trim; reject control-only values; special markers invalid,true,true,directly_observed,swagger and probe artifacts,,identity
TWSE_OPENAPI,twse_openapi_stock_day_all_v1,OpeningPrice,OpeningPrice,14.29,string,true,empty|-|--|---,price.open,decimal,TWD per unit,inferred_with_caveat,not_applicable,not_applicable,parse non-negative Decimal-compatible TWD price string after comma removal; blank/dash markers become null with caveat; do not use float for contract value,nullable unless context requires it; valid decimal must be >= 0; reject malformed or negative price values; special markers allowed only as missing,false,true,directly_observed,swagger and probe artifacts,,blank/dash nullable
TWSE_OPENAPI,twse_openapi_stock_day_all_v1,HighestPrice,HighestPrice,14.51,string,true,empty|-|--|---,price.high,decimal,TWD per unit,inferred_with_caveat,not_applicable,not_applicable,parse non-negative Decimal-compatible TWD price string after comma removal; blank/dash markers become null with caveat; do not use float for contract value,nullable unless context requires it; valid decimal must be >= 0; reject malformed or negative price values; special markers allowed only as missing,false,true,directly_observed,swagger and probe artifacts,,
TWSE_OPENAPI,twse_openapi_stock_day_all_v1,LowestPrice,LowestPrice,14.20,string,true,empty|-|--|---,price.low,decimal,TWD per unit,inferred_with_caveat,not_applicable,not_applicable,parse non-negative Decimal-compatible TWD price string after comma removal; blank/dash markers become null with caveat; do not use float for contract value,nullable unless context requires it; valid decimal must be >= 0; reject malformed or negative price values; special markers allowed only as missing,false,true,directly_observed,swagger and probe artifacts,,
TWSE_OPENAPI,twse_openapi_stock_day_all_v1,ClosingPrice,ClosingPrice,14.25,string,true,empty|-|--|---,price.close,decimal,TWD per unit,inferred_with_caveat,not_applicable,not_applicable,parse non-negative Decimal-compatible TWD price string after comma removal; blank/dash markers become null with caveat; do not use float for contract value,nullable unless context requires it; valid decimal must be >= 0; reject malformed or negative price values; special markers allowed only as missing,false,true,directly_observed,swagger and probe artifacts,,
TWSE_OPENAPI,twse_openapi_stock_day_all_v1,Change,Change,0.0000,string,true,empty|-|--|---,price.change,decimal,TWD absolute change,inferred_with_caveat,not_applicable,not_applicable,parse signed Decimal-compatible string after comma removal; preserve sign; leading plus is allowed; blank/dash markers become null with caveat,nullable; valid signed decimal or explicit missing marker; reject malformed decimals; negative values are valid for change only,false,true,directly_observed,swagger and probe artifacts,,signed string
TWSE_OPENAPI,twse_openapi_stock_day_all_v1,TradeVolume,TradeVolume,34113465,string,true,empty|-|--|---,activity.trade_volume,integer,shares/beneficial units,inferred_with_caveat,not_applicable,not_applicable,parse non-negative integer share/beneficial-unit quantity after comma removal; blank/dash markers become null with caveat,"nullable; valid integer must be >= 0; reject decimals, malformed strings, and negative quantities",false,true,directly_observed,swagger and probe artifacts,,integer string
TWSE_OPENAPI,twse_openapi_stock_day_all_v1,TradeValue,TradeValue,489845382,string,true,empty|-|--|---,activity.trade_value,integer,TWD,inferred_with_caveat,not_applicable,not_applicable,parse non-negative integer TWD trade value after comma removal; blank/dash markers become null with caveat,"nullable; valid integer must be >= 0; reject decimals, malformed strings, and negative values",false,true,directly_observed,swagger and probe artifacts,,integer string
TWSE_OPENAPI,twse_openapi_stock_day_all_v1,Transaction,Transaction,6040,string,true,empty|-|--|---,activity.transaction_count,integer,trades,directly_observed,not_applicable,not_applicable,parse non-negative integer transaction count after comma removal; blank/dash markers become null with caveat,"nullable; valid integer must be >= 0; reject decimals, malformed strings, and negative counts",false,true,directly_observed,swagger and probe artifacts,,integer string
