risk_id,risk_description,authoritative_owner_test_or_script,supporting_tests,e2e_or_operator_confirmation,current_duplicate_risk,recommended_action,notes
canonical_not_mutated,M5F canonical package must not be mutated by observation/operator workflows,tests/unit/test_m5f_canonical_market_context_package.py,tests/unit/test_m5k_workflow.py; tests/test_m6e_operator_acceptance.py,python scripts/run_m6e_operator_acceptance.py --check-only,medium,preserve,M5F ownership remains with canonical package tests and validator; no Commit 2 retirement.
m5f_schema_valid,M5F package schema and manifest remain valid,tests/unit/test_m5f_canonical_market_context_package.py,scripts/validate_m5f_canonical_market_context_package.py,python scripts/run_operator_preflight.py --json --timeout-seconds 300,low,preserve,Schema validation is unique and not consolidated.
observation_not_canonical,Live/bounded observations must not become canonical state,tests/unit/test_m5k_workflow.py,tests/unit/test_m5n_watchlist_workflow.py; tests/unit/test_m6a_observation_ux.py,python scripts/run_m6e_operator_acceptance.py --check-only,medium,preserve,Observation semantics are intentionally untouched.
bounded_watchlist_only,All live/observation/source workflows remain bounded to explicit watchlists,tests/unit/test_m5k_workflow.py,tests/unit/test_m5i_explicit_bounded_refresh.py; tests/unit/test_m5b_execution_authorization.py; tests/unit/test_controlled_refresh_staging_validator.py,python scripts/run_m6g_browser_operator_e2e.py --check-only,high,preserve_parametrized_isolation,Commit 3 restored distinct failure modes as parametrized pytest items; retire only if a future owner fully covers the same case.
no_full_market_scan,No workflow may perform full-market/all/wildcard scans,tests/unit/test_m5k_workflow.py,tests/unit/test_validator_regression_matrix.py; tests/unit/test_controlled_refresh_staging_writer.py; tests/unit/test_controlled_refresh_staging_validator.py,python scripts/run_m6e_operator_acceptance.py --check-only,high,preserve_parametrized_isolation,Commit 3 restored distinct failure modes as parametrized pytest items; retire only if a future owner fully covers the same case.
no_trading_semantics,Outputs and normalized rows must not contain trading signals,python scripts/forbidden_behavior_scanner.py,tests/unit/test_m5b_failure_injection.py; tests/unit/test_no_trading_signal_ui_guard.py; tests/test_generate_chatgpt_briefing.py,python scripts/run_m6e_operator_acceptance.py --check-only,high,preserve_parametrized_isolation,Commit 3 restored distinct failure modes as parametrized pytest items; retire only if a future owner fully covers the same case.
no_recommendation_ranking_target_price,No recommendations rankings or target prices are emitted,python scripts/forbidden_behavior_scanner.py,tests/unit/test_no_trading_signal_ui_guard.py; tests/test_generate_chatgpt_briefing.py,python scripts/run_m6g_browser_operator_e2e.py --check-only,high,preserve,No Commit 2 deletion beyond duplicate internal-loop consolidation.
raw_payload_not_exposed,Raw source payloads must not leak into generated artifacts/API/AI surfaces,python scripts/forbidden_behavior_scanner.py,tests/unit/test_m5k_workflow.py; tests/unit/test_m5op_frontend_operator_workflow.py; tests/unit/test_m5n_watchlist_workflow.py,python scripts/run_operator_preflight.py --json --timeout-seconds 300,high,preserve,Raw payload leakage protection remains broad due severity.
frontend_public_not_written,Default and staging workflows must not write frontend public artifacts,tests/unit/test_no_frontend_public_write_guard.py,scripts/governance_forbidden_path_guard.py; tests/unit/test_m5c_staging_promotion.py,python scripts/run_operator_preflight.py --json --timeout-seconds 300,medium,preserve,Path governance owner unchanged.
research_generated_not_written,Default workflows must not write research/generated paths,scripts/governance_forbidden_path_guard.py,tests/unit/test_controlled_refresh_staging_writer.py; tests/unit/test_m5c_staging_promotion.py,python scripts/run_m6e_operator_acceptance.py --check-only,medium,preserve,Path governance owner unchanged.
production_prod_not_written,Default workflows must not write production/prod paths,scripts/governance_forbidden_path_guard.py,tests/unit/test_m5c_staging_promotion.py; tests/unit/test_no_frontend_public_write_guard.py,python scripts/run_operator_preflight.py --json --timeout-seconds 300,medium,preserve,Path governance owner unchanged.
invalid_watchlist_fail_closed,Invalid watchlists fail closed without network execution,tests/unit/test_m5k_workflow.py,tests/unit/test_m6d_operator_and_local_networking.py; tests/test_m6e_operator_acceptance.py,python scripts/run_m6e_operator_acceptance.py --check-only,low,preserve,Safety-critical fail-closed tests untouched.
ssl_strict_default,Strict TLS remains default,scripts/ssl_policy.py,tests/unit/test_m6d_ssl_policy.py; tests/unit/test_server.py; tests/test_m6g_browser_operator_e2e.py,python scripts/run_m6g_browser_operator_e2e.py --check-only,medium,preserve,TLS semantics untouched.
ssl_env_override_explicit,Environment SSL override is explicit opt-in,tests/unit/test_m6d_ssl_policy.py,tests/unit/test_server.py; tests/test_m6g_browser_operator_e2e.py,python scripts/run_m6g_browser_operator_e2e.py --check-only,medium,preserve,TLS semantics untouched.
ssl_query_overrides_env,Query/request ssl_policy overrides environment policy,tests/unit/test_server.py,tests/test_m6g_browser_operator_e2e.py; tests/unit/test_m6d_operator_and_local_networking.py,python scripts/run_m6g_browser_operator_e2e.py --check-only,medium,preserve,TLS precedence untouched.
ssl_invalid_policy_fail_closed,Invalid SSL policies fail closed,tests/unit/test_m6d_operator_and_local_networking.py,tests/unit/test_server.py; tests/test_m6e_operator_acceptance.py; tests/test_m6g_browser_operator_e2e.py,python scripts/run_m6e_operator_acceptance.py --check-only,medium,preserve,Invalid policy coverage untouched.
fastapi_execute_requires_confirmation,FastAPI live execution requires explicit confirmation,tests/unit/test_m5k_workflow.py,tests/unit/test_server.py; tests/test_m6e_operator_acceptance.py,python scripts/run_m6g_browser_operator_e2e.py --check-only,low,preserve,No API behavior changes.
mcp_invalid_policy_fail_closed,MCP invalid SSL policy fails closed without network/writes,tests/unit/test_m6d_operator_and_local_networking.py,tests/test_m6e_operator_acceptance.py; tests/unit/test_mcp_server.py,python server/mcp_server.py --startup-check,medium,preserve,MCP fail-closed owner preserved; M6J-R2 retired seven exact duplicate legacy controlled-tool wrappers that used identical arguments, monkeypatch, MCP call, and assertions.
source_health_raw_payload_excluded,Source-health reports exclude raw payload leakage,tests/test_m5q_source_health.py,tests/unit/test_m6b_contract_hardening.py; scripts/forbidden_behavior_scanner.py,python scripts/run_operator_preflight.py --json --timeout-seconds 300,medium,preserve,Source-health semantics untouched.
conversation_context_raw_payload_excluded,Conversation package excludes raw payload leakage and preserves AI-safe context,tests/unit/test_m5n_watchlist_workflow.py,tests/test_generate_ai_context_pack.py; tests/test_generate_chatgpt_briefing.py,python scripts/run_m6e_operator_acceptance.py --check-only,medium,preserve,Conversation semantics untouched.
m6e_operator_acceptance,M6E operator acceptance remains available and passing,tests/test_m6e_operator_acceptance.py,scripts/run_m6e_operator_acceptance.py,python scripts/run_m6e_operator_acceptance.py --check-only,low,preserve,M6E not retired.
m6g_browser_check_only,M6G browser check-only validates real browser/operator path,tests/test_m6g_browser_operator_e2e.py,scripts/run_m6g_browser_operator_e2e.py,python scripts/run_m6g_browser_operator_e2e.py --check-only,low,preserve,M6G not retired.
m6g_bounded_live_evidence,Prior bounded-live evidence remains preserved and not overwritten in commits,research/live_observation_runs/m6g_browser_operator_e2e/latest_browser_operator_e2e_report.json,tests/test_m6g_browser_operator_e2e.py,python scripts/run_m6g_browser_operator_e2e.py --check-only,low,preserve,Check-only evidence artifacts are restored if they overwrite bounded-live latest evidence.
