risk_cluster_key,review_priority,cluster_size,members_reviewed,production_targets_reviewed,authoritative_owner,semantic_equivalence,retired_members,preserved_members,decision_reason
unknown:load:equals,P0,7,7,"schema/json fixtures loaded by authorization/evidence/governance/release/source schema tests",tests/unit/test_authorization_token_schema.py,false,,"all members preserved","Same load/assertion shape, but each member validates a different schema or release artifact with different fixture semantics."
unknown:copy_candidate:contains,P0,6,6,"scripts.m5d_publication_common.validate_candidate; frontend_inventory",tests/unit/test_m5d_publication_candidate.py,partial,,"all members preserved","Shared copy_candidate setup and contains assertions, but each member mutates a different artifact field: temporary path, manifest finality, PR binding, extra files, baseline drift, or non-json artifact."
unknown:generate_symbol_observations:contains,P0,7,7,scripts/generate_watchlist_observations.py,tests/test_generate_watchlist_observations.py,false,,"all members preserved","Common observation generator target, but members cover distinct observation semantics: stale/EOD, live spread, price direction, threshold proximity, volume, and failed observations."
frontend_static_contract:read_text:contains,P0,5,5,"frontend static/read_text contracts across accessibility, observability, readonly, M5N",tests/unit/test_frontend_readonly_static_contracts.py,partial,,"all members preserved","Static text assertions overlap, but files guard different surfaces: accessibility labels, observability panels, readonly schema wording, and M5N workbench contract."
unknown:datetime:contains+equals,P0,6,6,"normalizers for TPEx/TWSE/Yahoo timestamp semantics",tests/unit/test_twse_openapi_normalization_v1.py,false,,"all members preserved","Shared datetime assertion shape, but each member validates a different source adapter timestamp/freshness transformation."
unknown:read_text:contains,P0,5,5,"documentation/static governance files",tests/unit/test_test_suite_segmentation_docs.py,partial,,"all members preserved","All read text and check tokens, but they protect separate docs/workflows: freshness matrix, PR checklist, pytest markers, repo-wide governance, and test segmentation."
conversation_context:build_frontend_readonly_context_package:contains,P0,3,3,scripts/build_frontend_readonly_context_package.py,tests/unit/test_frontend_readonly_context_package.py,false,,"all members preserved","Same builder target, but stale, delayed, and live-candidate caveats are distinct display semantics."
m5b_staging:base_result:no_assert,P0,4,4,scripts/build_m5b_staging_candidate.py,tests/unit/test_build_m5b_staging_candidate.py,partial,,"all members preserved","Shared helper/setup path, but members exercise distinct staging candidate failure and manifest behavior."
m5b_staging:datetime:equals,P0,4,4,scripts/validate_m5b_execution_authorization.py,tests/unit/test_m5b_execution_authorization.py,false,,"all members preserved","Same datetime target and equality shape, but members cover before, exact authorized, pre-expiry, exact expiry, and receipt audit boundaries."
unknown:any:equals,P0,5,5,"source registry and adapter matrix validators",tests/unit/test_validate_source_registry.py,partial,,"all members preserved","Common any/equality pattern, but assertions check separate registry and adapter error families."
