source_id,endpoint_contract_id,instrument_scope,source_field,normalized_field,data_type,unit,required_for_identity,required_for_core_context,AI_context_eligible,evidence_status,conversion_rule,validation_rule,partial_row_policy,caveats
TAIFEX_OPENAPI,taifex_openapi_daily_market_report_fut_v1,futures,Date,trade_date,string,date,true,true,true,documented_and_observed,YYYYMMDD string -> Gregorian YYYY-MM-DD,reject invalid calendar date,missing optional numeric => partial row; missing identity => reject,
TAIFEX_OPENAPI,taifex_openapi_daily_market_report_fut_v1,futures,Contract,product_id,string,product_code,true,true,true,documented_and_observed,preserve exact product code; no numeric coercion,non-empty official product code string,missing optional numeric => partial row; missing identity => reject,
TAIFEX_OPENAPI,taifex_openapi_daily_market_report_fut_v1,futures,ContractMonth(Week),contract_identity.contract_month,string,contract_month_or_week,true,true,true,documented_and_observed,preserve source string,validate monthly/weekly pattern separately,missing optional numeric => partial row; missing identity => reject,
TAIFEX_OPENAPI,taifex_openapi_daily_market_report_fut_v1,futures,TradingSession,session,string,session_label,false,true,true,documented_and_observed,preserve raw source label; map known labels only after validation,unknown => session_semantics_unresolved,missing optional numeric => partial row; missing identity => reject,
TAIFEX_OPENAPI,taifex_openapi_daily_market_report_fut_v1,futures,Open,price.open,decimal_string,TWD,false,true,true,documented_and_observed,preserve Decimal-compatible string; no float,non-negative Decimal-compatible string,missing optional numeric => partial row; missing identity => reject,
TAIFEX_OPENAPI,taifex_openapi_daily_market_report_fut_v1,futures,High,price.high,decimal_string,TWD,false,true,true,documented_and_observed,preserve Decimal-compatible string; no float,non-negative Decimal-compatible string,missing optional numeric => partial row; missing identity => reject,
TAIFEX_OPENAPI,taifex_openapi_daily_market_report_fut_v1,futures,Low,price.low,decimal_string,TWD,false,true,true,documented_and_observed,preserve Decimal-compatible string; no float,non-negative Decimal-compatible string,missing optional numeric => partial row; missing identity => reject,
TAIFEX_OPENAPI,taifex_openapi_daily_market_report_fut_v1,futures,SettlementPrice,price.settlement,decimal_string,TWD,false,true,true,documented_and_observed,preserve Decimal-compatible string; no float,non-negative Decimal-compatible string,missing optional numeric => partial row; missing identity => reject,
TAIFEX_OPENAPI,taifex_openapi_daily_market_report_fut_v1,futures,Volume,activity.volume,integer,contracts,false,true,true,documented_and_observed,comma removal allowed,non-negative integer; comma removal allowed; no decimal,missing optional numeric => partial row; missing identity => reject,
TAIFEX_OPENAPI,taifex_openapi_daily_market_report_fut_v1,futures,OpenInterest,open_interest.open_interest,integer,contracts,false,true,true,documented_and_observed,comma removal allowed,non-negative integer; comma removal allowed; no decimal,missing optional numeric => partial row; missing identity => reject,
TAIFEX_OPENAPI,taifex_openapi_daily_market_report_fut_v1,futures,Last,price.last,decimal_string,TWD,false,true,true,documented_and_observed,preserve Decimal-compatible string; no float,non-negative Decimal-compatible string,missing optional numeric => partial row; missing identity => reject,
TAIFEX_OPENAPI,taifex_openapi_daily_market_report_fut_v1,futures,Change,price.change,decimal_string,TWD,false,true,true,documented_and_observed,preserve signed Decimal-compatible string; no float,signed Decimal-compatible string,missing optional numeric => partial row; missing identity => reject,
TAIFEX_OPENAPI,taifex_openapi_daily_market_report_fut_v1,futures,%,price.change_percent,percent_string,percent,false,true,false,documented_and_observed,preserve source-reported percent string,source-reported percent string; AI context optional,missing optional numeric => partial row; missing identity => reject,
TAIFEX_OPENAPI,taifex_openapi_daily_market_report_opt_v1,options,Date,trade_date,string,date,true,true,true,documented_and_observed,YYYYMMDD string -> Gregorian YYYY-MM-DD,reject invalid calendar date,missing optional numeric => partial row; missing identity => reject,
TAIFEX_OPENAPI,taifex_openapi_daily_market_report_opt_v1,options,Contract,product_id,string,product_code,true,true,true,documented_and_observed,preserve exact product code; no numeric coercion,non-empty official product code string,missing optional numeric => partial row; missing identity => reject,
TAIFEX_OPENAPI,taifex_openapi_daily_market_report_opt_v1,options,ContractMonth(Week),contract_identity.contract_month,string,contract_month_or_week,true,true,true,documented_and_observed,preserve source string,validate monthly/weekly pattern separately,missing optional numeric => partial row; missing identity => reject,
TAIFEX_OPENAPI,taifex_openapi_daily_market_report_opt_v1,options,TradingSession,session,string,session_label,false,true,true,documented_and_observed,preserve raw source label; map known labels only after validation,unknown => session_semantics_unresolved,missing optional numeric => partial row; missing identity => reject,
TAIFEX_OPENAPI,taifex_openapi_daily_market_report_opt_v1,options,Open,price.open,decimal_string,TWD,false,true,true,documented_and_observed,preserve Decimal-compatible string; no float,non-negative Decimal-compatible string,missing optional numeric => partial row; missing identity => reject,
